date,geography,geography_code,metric,stratum,metric_value,theme,sub_theme,topic,geography_type,metric_group,sex,age,year,month,epiweek,in_reporting_delay_period
2020-04-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,16.13,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,4,14,FALSE
2020-05-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.07,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,5,18,FALSE
2020-06-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.99,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,6,22,FALSE
2020-07-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,7.41,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,7,27,FALSE
2020-08-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,5.81,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,8,31,FALSE
2020-09-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,6.59,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,9,35,FALSE
2020-10-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,9.78,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,10,40,FALSE
2020-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,11.54,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,11,44,FALSE
2020-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,19.44,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2020,12,48,FALSE
2021-01-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.67,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,1,1,FALSE
