YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201509,Q44,0501011P0,Female,Unknown,*,*
201509,Q44,0501011P0,Female,16-20,*,*
201509,Q44,0501011P0,Female,26-30,*,*
201509,Q44,0501011P0,Female,31-35,*,*
201509,Q44,0501011P0,Female,46-50,*,*
201509,Q44,0501011P0,Female,51-55,*,*
201509,Q44,0501011P0,Female,66-70,*,*
201509,Q44,0501011P0,Female,71-75,*,*
201509,Q44,0501011P0,Female,86-90,*,*
201509,Q44,0501011P0,Male,Unknown,*,*
201509,Q44,0501011P0,Male,0-1,*,*
201509,Q44,0501011P0,Male,11-15,*,*
201509,Q44,0501011P0,Male,16-20,*,*
201509,Q44,0501011P0,Male,26-30,*,*
201509,Q44,0501011P0,Unknown,Unknown,0,*
201509,Q44,0501011P0,Unknown,11-15,0,*
201509,Q44,0501012G0,Female,0-1,*,*
201509,Q44,0501012G0,Female,2-5,*,*
201509,Q44,0501012G0,Female,16-20,*,*
201509,Q44,0501012G0,Female,21-25,*,*
201509,Q44,0501012G0,Female,26-30,*,*
201509,Q44,0501012G0,Female,31-35,*,*
201509,Q44,0501012G0,Female,36-40,*,*
201509,Q44,0501012G0,Female,41-45,*,*
201509,Q44,0501012G0,Female,46-50,*,*
201509,Q44,0501012G0,Female,51-55,*,*
201509,Q44,0501012G0,Female,66-70,*,*
201509,Q44,0501012G0,Female,71-75,*,*
201509,Q44,0501012G0,Female,86-90,*,*
201509,Q44,0501012G0,Female,96-100,*,*
201509,Q44,0501012G0,Male,0-1,*,*
201509,Q44,0501012G0,Male,6-10,*,*
201509,Q44,0501012G0,Male,16-20,*,*
201509,Q44,0501012G0,Male,21-25,*,*
201509,Q44,0501012G0,Male,36-40,*,*
201509,Q44,0501012G0,Male,41-45,*,*
201509,Q44,0501012G0,Male,51-55,*,*
201509,Q44,0501012G0,Male,56-60,*,*
201509,Q44,0501012G0,Male,61-65,5,6
201509,Q44,0501012G0,Male,66-70,*,*
201509,Q44,0501012G0,Male,71-75,*,*
201509,Q44,0501012G0,Male,76-80,*,*
201509,Q44,0501012G0,Male,81-85,*,*
201509,Q44,0501012G0,Male,91-95,*,*
201509,Q44,0501012G0,Unknown,Unknown,0,6
