"ICB_CODE","ICB_NAME","sex","age_group","pop","YEAR"
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","0-1",26542,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","11-15",63923,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","16-20",72590,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","2-5",55346,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","21-25",79989,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","26-30",79498,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","31-35",77381,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","36-40",71665,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","41-45",80984,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","46-50",90644,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","51-55",94036,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","56-60",80985,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","6-10",67635,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","61-65",72038,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","66-70",73734,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","71-75",56325,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","76-80",47594,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","81-85",35050,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Female","86-90",33266,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","0-1",28536,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","11-15",66574,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","16-20",72937,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","2-5",58676,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","21-25",79829,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","26-30",77352,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","31-35",75558,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","36-40",69741,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","41-45",77767,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","46-50",86267,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","51-55",89560,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","56-60",78167,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","6-10",71743,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","61-65",69171,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","66-70",69639,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","71-75",50184,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","76-80",38770,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","81-85",25210,2016
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Male","86-90",16920,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","0-1",11639,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","11-15",28964,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","16-20",30176,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","2-5",25100,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","21-25",33484,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","26-30",33995,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","31-35",33481,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","36-40",31278,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","41-45",36942,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","46-50",41291,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","51-55",40727,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","56-60",35645,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","6-10",31478,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","61-65",32828,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","66-70",35200,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","71-75",28020,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","76-80",21494,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","81-85",15380,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Female","86-90",14813,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","0-1",12367,2016
