ICB_CODE,IMD_rank,IMD_quintile
E54000008,12,2
E54000010,23,3
E54000011,19,3
E54000013,13,2
E54000015,27,4
E54000018,25,3
E54000019,29,4
E54000022,14,2
E54000023,22,3
E54000024,24,3
E54000025,39,5
E54000026,28,4
E54000027,8,1
E54000028,6,1
E54000029,3,1
E54000030,15,2
E54000031,36,5
E54000032,17,2
E54000034,40,5
E54000036,10,2
E54000037,18,2
E54000038,21,3
E54000039,33,4
E54000040,38,5
E54000041,32,4
E54000042,34,4
E54000043,37,5
E54000044,41,5
E54000048,11,2
E54000050,7,1
E54000051,26,3
E54000054,9,1
E54000055,1,1
E54000056,35,5
E54000057,4,1
E54000058,20,3
E54000059,31,4
E54000060,16,2
E54000061,5,1
E54000062,2,1
E54000063,42,5
E54000064,30,4
