date,nation,daily_cases
2020-01-03,England,
2020-01-04,England,
2020-01-05,England,
2020-01-06,England,
2020-01-07,England,
2020-01-08,England,
2020-01-09,England,
2020-01-10,England,
2020-01-11,England,
2020-01-12,England,
2020-01-13,England,
2020-01-14,England,
2020-01-15,England,
2020-01-16,England,
2020-01-17,England,
2020-01-18,England,
2020-01-19,England,
2020-01-20,England,
2020-01-21,England,
2020-01-22,England,
2020-01-23,England,
2020-01-24,England,
2020-01-25,England,
2020-01-26,England,
2020-01-27,England,
2020-01-28,England,
2020-01-29,England,
2020-01-30,England,1.0
2020-01-31,England,0.0
2020-02-01,England,0.0
2020-02-02,England,1.0
2020-02-03,England,18.0
2020-02-04,England,0.0
2020-02-05,England,1.0
2020-02-06,England,0.0
2020-02-07,England,0.0
2020-02-08,England,3.0
2020-02-09,England,1.0
2020-02-10,England,1.0
2020-02-11,England,4.0
2020-02-12,England,1.0
2020-02-13,England,1.0
2020-02-14,England,0.0
2020-02-15,England,0.0
2020-02-16,England,0.0
2020-02-17,England,1.0
2020-02-18,England,0.0
2020-02-19,England,0.0
2020-02-20,England,0.0
2020-02-21,England,2.0
2020-02-22,England,0.0
2020-02-23,England,6.0
2020-02-24,England,2.0
2020-02-25,England,3.0
2020-02-26,England,1.0
2020-02-27,England,7.0
2020-02-28,England,11.0
2020-02-29,England,4.0
2020-03-01,England,18.0
2020-03-02,England,40.0
2020-03-03,England,53.0
2020-03-04,England,49.0
2020-03-05,England,46.0
2020-03-06,England,74.0
2020-03-07,England,55.0
2020-03-08,England,50.0
2020-03-09,England,127.0
2020-03-10,England,229.0
2020-03-11,England,358.0
2020-03-12,England,421.0
2020-03-13,England,401.0
2020-03-14,England,315.0
2020-03-15,England,398.0
2020-03-16,England,552.0
2020-03-17,England,683.0
2020-03-18,England,910.0
2020-03-19,England,932.0
2020-03-20,England,1096.0
2020-03-21,England,1040.0
2020-03-22,England,1212.0
2020-03-23,England,2010.0
2020-03-24,England,2041.0
2020-03-25,England,2284.0
2020-03-26,England,2633.0
2020-03-27,England,2673.0
2020-03-28,England,2379.0
2020-03-29,England,2449.0
2020-03-30,England,3514.0
2020-03-31,England,3816.0
2020-04-01,England,4150.0
2020-04-02,England,4097.0
2020-04-03,England,4102.0
2020-04-04,England,3405.0
2020-04-05,England,3094.0
2020-04-06,England,4407.0
2020-04-07,England,4605.0
2020-04-08,England,4315.0
2020-04-09,England,4076.0
2020-04-10,England,3590.0
2020-04-11,England,3085.0
2020-04-12,England,2958.0
2020-04-13,England,3463.0
2020-04-14,England,3568.0
2020-04-15,England,4240.0
2020-04-16,England,4360.0
2020-04-17,England,4088.0
2020-04-18,England,4142.0
2020-04-19,England,3494.0
2020-04-20,England,3698.0
2020-04-21,England,3996.0
2020-04-22,England,4812.0
2020-04-23,England,4574.0
2020-04-24,England,4352.0
2020-04-25,England,3381.0
2020-04-26,England,3137.0
2020-04-27,England,4056.0
2020-04-28,England,4113.0
2020-04-29,England,4737.0
2020-04-30,England,4314.0
2020-05-01,England,4109.0
2020-05-02,England,2762.0
2020-05-03,England,2648.0
2020-05-04,England,2851.0
2020-05-05,England,3148.0
2020-05-06,England,3264.0
2020-05-07,England,3205.0
2020-05-08,England,2622.0
2020-05-09,England,1797.0
2020-05-10,England,2013.0
2020-05-11,England,3088.0
2020-05-12,England,2940.0
2020-05-13,England,2899.0
2020-05-14,England,2222.0
2020-05-15,England,2145.0
2020-05-16,England,1781.0
2020-05-17,England,1593.0
2020-05-18,England,2226.0
2020-05-19,England,2602.0
2020-05-20,England,2359.0
2020-05-21,England,2277.0
2020-05-22,England,1798.0
2020-05-23,England,1309.0
2020-05-24,England,1206.0
2020-05-25,England,1389.0
2020-05-26,England,1461.0
2020-05-27,England,1616.0
2020-05-28,England,1575.0
2020-05-29,England,1374.0
2020-05-30,England,1010.0
2020-05-31,England,984.0
2020-06-01,England,1319.0
2020-06-02,England,1365.0
2020-06-03,England,1251.0
2020-06-04,England,1147.0
2020-06-05,England,1020.0
2020-06-06,England,723.0
2020-06-07,England,668.0
2020-06-08,England,990.0
2020-06-09,England,1066.0
2020-06-10,England,1086.0
2020-06-11,England,915.0
2020-06-12,England,938.0
2020-06-13,England,785.0
2020-06-14,England,752.0
2020-06-15,England,944.0
2020-06-16,England,996.0
2020-06-17,England,914.0
2020-06-18,England,938.0
2020-06-19,England,818.0
2020-06-20,England,626.0
2020-06-21,England,550.0
2020-06-22,England,821.0
2020-06-23,England,727.0
2020-06-24,England,732.0
2020-06-25,England,643.0
2020-06-26,England,640.0
2020-06-27,England,506.0
2020-06-28,England,413.0
2020-06-29,England,666.0
2020-06-30,England,578.0
2020-07-01,England,607.0
2020-07-02,England,561.0
2020-07-03,England,536.0
2020-07-04,England,385.0
2020-07-05,England,544.0
2020-07-06,England,664.0
2020-07-07,England,565.0
2020-07-08,England,682.0
2020-07-09,England,688.0
2020-07-10,England,524.0
2020-07-11,England,432.0
2020-07-12,England,351.0
2020-07-13,England,694.0
2020-07-14,England,661.0
2020-07-15,England,726.0
2020-07-16,England,644.0
2020-07-17,England,548.0
2020-07-18,England,473.0
2020-07-19,England,419.0
2020-07-20,England,769.0
2020-07-21,England,697.0
2020-07-22,England,764.0
2020-07-23,England,741.0
2020-07-24,England,720.0
2020-07-25,England,499.0
2020-07-26,England,518.0
2020-07-27,England,824.0
2020-07-28,England,796.0
2020-07-29,England,994.0
2020-07-30,England,879.0
2020-07-31,England,644.0
2020-08-01,England,508.0
2020-08-02,England,518.0
2020-08-03,England,963.0
2020-08-04,England,965.0
2020-08-05,England,973.0
2020-08-06,England,1005.0
2020-08-07,England,892.0
2020-08-08,England,648.0
2020-08-09,England,569.0
2020-08-10,England,1375.0
2020-08-11,England,1247.0
2020-08-12,England,1126.0
2020-08-13,England,1036.0
2020-08-14,England,1059.0
2020-08-15,England,656.0
2020-08-16,England,534.0
2020-08-17,England,1159.0
2020-08-18,England,955.0
2020-08-19,England,1109.0
2020-08-20,England,1254.0
2020-08-21,England,1031.0
2020-08-22,England,732.0
2020-08-23,England,704.0
2020-08-24,England,1156.0
2020-08-25,England,1085.0
2020-08-26,England,1181.0
2020-08-27,England,1356.0
2020-08-28,England,1395.0
2020-08-29,England,1051.0
2020-08-30,England,987.0
2020-08-31,England,1279.0
2020-09-01,England,1962.0
2020-09-02,England,2696.0
2020-09-03,England,2716.0
2020-09-04,England,2637.0
2020-09-05,England,2200.0
2020-09-06,England,2079.0
2020-09-07,England,3530.0
2020-09-08,England,3071.0
2020-09-09,England,2893.0
2020-09-10,England,3143.0
2020-09-11,England,2893.0
2020-09-12,England,2224.0
2020-09-13,England,1722.0
2020-09-14,England,2941.0
2020-09-15,England,3057.0
2020-09-16,England,3778.0
2020-09-17,England,3979.0
2020-09-18,England,4290.0
2020-09-19,England,4215.0
2020-09-20,England,4652.0
2020-09-21,England,4727.0
2020-09-22,England,5400.0
2020-09-23,England,5933.0
2020-09-24,England,6361.0
2020-09-25,England,6105.0
2020-09-26,England,5704.0
2020-09-27,England,6084.0
2020-09-28,England,8641.0
2020-09-29,England,8832.0
2020-09-30,England,10663.0
2020-10-01,England,11444.0
2020-10-02,England,11719.0
2020-10-03,England,9820.0
2020-10-04,England,9966.0
2020-10-05,England,14218.0
2020-10-06,England,14458.0
2020-10-07,England,15418.0
2020-10-08,England,15452.0
2020-10-09,England,13159.0
2020-10-10,England,10301.0
2020-10-11,England,9781.0
2020-10-12,England,16420.0
2020-10-13,England,15660.0
2020-10-14,England,16646.0
2020-10-15,England,15428.0
2020-10-16,England,14761.0
2020-10-17,England,12487.0
2020-10-18,England,11982.0
2020-10-19,England,22369.0
2020-10-20,England,21638.0
2020-10-21,England,21762.0
2020-10-22,England,19866.0
2020-10-23,England,18359.0
2020-10-24,England,13713.0
2020-10-25,England,13353.0
2020-10-26,England,23033.0
2020-10-27,England,20762.0
2020-10-28,England,20547.0
2020-10-29,England,20257.0
2020-10-30,England,19899.0
2020-10-31,England,14565.0
2020-11-01,England,13611.0
2020-11-02,England,28394.0
2020-11-03,England,22690.0
2020-11-04,England,21053.0
2020-11-05,England,21206.0
2020-11-06,England,21179.0
2020-11-07,England,16888.0
2020-11-08,England,18272.0
2020-11-09,England,28560.0
2020-11-10,England,24836.0
2020-11-11,England,25065.0
2020-11-12,England,22320.0
2020-11-13,England,22008.0
